mode,segment_id,sequence,is_primary,warmup_start_frame,start_frame,end_frame,evaluation_start_frame,evaluated_frames,estimate_frames,full_run_frames,geometry_estimate_frames,geometry_full_run_frames,run_status,evo_status,estimate_semantics,geometry_estimate_semantics,ape_rmse_m,ape_mean_m,ape_median_m,ape_std_m,rpe_rmse_m,rpe_mean_m,rpe_median_m,rpe_std_m,skip_pose_count,reinit_failed_count,max_inliers,min_inliers,final_status,final_tracked,final_inliers,ended_with_skip_pose,notes
01_static,static_01,07,True,644,695,714,695,20,20,70,20,70,completed,completed,final_geometry_spine,pure_two_view_diagnostic,0.027037,0.023794,0.025319,0.012838,0.003163,0.00272,0.00232,0.001613,4,0,35,2,skip-small-baseline,35,35,False,near standstill with only millimeter-level translation
02_rotation_dominant,rotation_01,07,True,10,15,34,15,20,20,24,20,24,completed,completed,final_geometry_spine,pure_two_view_diagnostic,0.029942,0.027396,0.025323,0.012082,0.017192,0.014754,0.013594,0.008825,0,0,605,136,pnp-candidate,2000,605,False,high relative rotation with moderate translation early in the route
03_low_translation,low_translation_01,07,True,620,644,663,644,20,20,43,20,43,completed,completed,final_geometry_spine,pure_two_view_diagnostic,0.589683,0.500289,0.49912,0.312148,0.133709,0.115906,0.108377,0.066662,1,0,0,0,skip-pose,2000,0,True,low-speed translation after the deceleration phase
04_nominal_translation,nominal_01,07,True,190,200,219,200,20,20,29,20,29,completed,completed,final_geometry_spine,pure_two_view_diagnostic,0.058098,0.052515,0.046314,0.024851,0.04781,0.034989,0.024531,0.032581,0,0,1154,869,pnp-candidate,1048,1048,False,stable nominal driving segment with sufficient translation
05_fast_translation,fast_01,07,True,775,785,804,785,20,20,29,20,29,completed,completed,final_geometry_spine,pure_two_view_diagnostic,0.046277,0.040778,0.035892,0.02188,0.049221,0.042503,0.046848,0.024825,0,0,1161,868,pnp-candidate,2000,913,False,highest-speed translation plateau in KITTI 07
06_transition,transition_01,07,True,618,628,647,628,20,20,29,20,29,completed,completed,final_geometry_spine,pure_two_view_diagnostic,0.428373,0.349474,0.292223,0.247732,0.186858,0.143135,0.124262,0.120118,1,0,1108,11,skip-pose,2000,11,True,deceleration from nominal speed into a weak-translation region
