mode,segments_total,segments_completed,ape_rmse_mean_m,ape_rmse_std_m,ape_rmse_min_m,ape_rmse_max_m,rpe_rmse_mean_m,rpe_rmse_std_m,rpe_rmse_min_m,rpe_rmse_max_m,ape_mean_mean_m,rpe_mean_mean_m,skip_pose_mean,skip_pose_max,reinit_failed_mean,ended_with_skip_segments
01_static,3,3,0.02301,0.007690526509934154,0.012247,0.029746,0.004570333333333333,0.0020649610703890333,0.003058,0.00749,0.020080999999999998,0.003545666666666667,3.0,4.0,0.0,1
02_rotation_dominant,3,3,0.06656633333333334,0.026764282720737272,0.029942,0.093154,0.03437366666666667,0.012149285694594926,0.017192,0.042986,0.057694,0.027865,0.3333333333333333,1.0,0.0,0
03_low_translation,3,3,0.540418,0.1063435579462464,0.392728,0.638843,0.099538,0.029177204126966425,0.062422,0.133709,0.4793343333333333,0.07961333333333333,1.3333333333333333,2.0,0.0,3
04_nominal_translation,3,3,0.035062,0.017218934171428845,0.016707,0.058098,0.032232333333333335,0.01170541539440423,0.019593,0.04781,0.030600666666666665,0.023799666666666667,0.0,0.0,0.0,0
05_fast_translation,3,3,0.05147533333333334,0.0038858198906051,0.046277,0.055618,0.047777999999999994,0.001104070951826317,0.04654,0.049221,0.046163666666666665,0.04070233333333333,0.0,0.0,0.0,0
06_transition,3,3,0.29652466666666666,0.1589050451356267,0.072999,0.428373,0.08951133333333333,0.06942007650688828,0.029818,0.186858,0.24612533333333333,0.070143,2.0,4.0,0.0,3
